Operation,Certificate,ProcessingTime(ms),Status
Issue,CERT: 57459,10.474,Issued
Issue,CERT: 4858,10.326,Issued
Issue,CERT: 89574,10.456,Issued
Issue,CERT: 38046,10.502,Issued
Issue,CERT: 42553,10.556,Issued
Issue,CERT: 23666,10.593,Issued
Issue,CERT: 89695,10.452,Issued
Issue,CERT: 43110,10.467,Issued
Issue,CERT: 63340,10.472,Issued
Issue,CERT: 23482,10.422,Issued
Issue,CERT: 48451,10.424,Issued
Issue,CERT: 60268,10.547,Issued
Issue,CERT: 73188,10.443,Issued
Issue,CERT: 7502,10.363,Issued
Issue,CERT: 36120,10.445,Issued
Issue,CERT: 76229,10.567,Issued
Issue,CERT: 94236,10.351,Issued
Issue,CERT: 86294,10.477,Issued
Issue,CERT: 63585,10.551,Issued
Issue,CERT: 77901,10.417,Issued
Issue,CERT: 79438,10.514,Issued
Issue,CERT: 4994,10.293,Issued
Issue,CERT: 25126,10.396,Issued
Issue,CERT: 99563,10.426,Issued
Issue,CERT: 34575,10.323,Issued
Issue,CERT: 44842,10.462,Issued
Issue,CERT: 4226,10.383,Issued
Issue,CERT: 6495,10.472,Issued
Issue,CERT: 72094,10.579,Issued
Issue,CERT: 92567,10.434,Issued
Issue,CERT: 68285,10.337,Issued
Issue,CERT: 18230,10.441,Issued
Issue,CERT: 65577,10.365,Issued
Issue,CERT: 82195,10.577,Issued
Issue,CERT: 51048,10.133,Issued
Issue,CERT: 85678,10.483,Issued
Issue,CERT: 46865,10.361,Issued
Issue,CERT: 3293,10.322,Issued
Issue,CERT: 12445,10.521,Issued
Issue,CERT: 96805,10.338,Issued
Issue,CERT: 58022,10.494,Issued
Issue,CERT: 97782,10.511,Issued
Issue,CERT: 24815,10.440,Issued
Issue,CERT: 34598,10.387,Issued
Issue,CERT: 46873,10.385,Issued
Issue,CERT: 98526,10.498,Issued
Issue,CERT: 82659,10.395,Issued
Issue,CERT: 66946,10.110,Issued
Issue,CERT: 19809,10.320,Issued
Issue,CERT: 93833,10.298,Issued
Issue,CERT: 72410,10.454,Issued
Issue,CERT: 11169,10.149,Issued
Issue,CERT: 10549,10.549,Issued
Issue,CERT: 19561,10.178,Issued
Issue,CERT: 94120,10.629,Issued
Issue,CERT: 2769,10.387,Issued
Issue,CERT: 94985,10.439,Issued
Issue,CERT: 76087,10.248,Issued
Issue,CERT: 81161,10.516,Issued
Issue,CERT: 42834,10.478,Issued
Issue,CERT: 14453,10.453,Issued
Issue,CERT: 42635,10.367,Issued
Issue,CERT: 80807,10.400,Issued
Issue,CERT: 74267,10.436,Issued
Issue,CERT: 26803,10.476,Issued
Issue,CERT: 94591,10.393,Issued
Issue,CERT: 76114,10.377,Issued
Issue,CERT: 56091,10.496,Issued
Issue,CERT: 64941,10.302,Issued
Issue,CERT: 27844,10.522,Issued
Issue,CERT: 29721,10.469,Issued
Issue,CERT: 63255,10.491,Issued
Issue,CERT: 46118,10.479,Issued
Issue,CERT: 85317,10.282,Issued
Issue,CERT: 92865,10.586,Issued
Issue,CERT: 83141,10.309,Issued
Issue,CERT: 72669,10.386,Issued
Issue,CERT: 36227,10.417,Issued
Issue,CERT: 23549,10.111,Issued
Issue,CERT: 93143,10.539,Issued
Issue,CERT: 47195,10.187,Issued
Issue,CERT: 68386,10.346,Issued
Issue,CERT: 22911,10.396,Issued
Issue,CERT: 50649,10.397,Issued
Issue,CERT: 37219,10.506,Issued
Issue,CERT: 93173,10.302,Issued
Issue,CERT: 54572,10.380,Issued
Issue,CERT: 9691,10.161,Issued
Issue,CERT: 59386,10.509,Issued
Issue,CERT: 33523,10.398,Issued
Issue,CERT: 46973,10.437,Issued
Issue,CERT: 18694,10.437,Issued
Issue,CERT: 57690,10.520,Issued
Issue,CERT: 75293,10.336,Issued
Issue,CERT: 50312,10.083,Issued
Issue,CERT: 21362,10.085,Issued
Issue,CERT: 71888,10.435,Issued
Issue,CERT: 96216,10.537,Issued
Issue,CERT: 26033,10.624,Issued
Issue,CERT: 54010,10.143,Issued
Issue,CERT: 86648,10.535,Issued
Issue,CERT: 33821,10.779,Issued
Issue,CERT: 80502,10.363,Issued
Issue,CERT: 14336,10.155,Issued
Issue,CERT: 27947,10.371,Issued
Issue,CERT: 42449,10.349,Issued
